WETID,DEVELOPED_PCT,COUNT,AREA,MEAN
B-48,5.384615384615384,130.000000000000000,117000.000000000000000,0.053846153846154
B-62,0.000000000000000,106.000000000000000,95400.000000000000000,0.000000000000000
B-63,8.496732026143791,153.000000000000000,137700.000000000000000,0.084967320261438
B-64,7.851239669421490,242.000000000000000,217800.000000000000000,0.078512396694215
M-29,9.960159362549796,251.000000000000000,225900.000000000000000,0.099601593625498
M-55,0.000000000000000,27.000000000000000,24300.000000000000000,0.000000000000000
PS-13,0.000000000000000,4.000000000000000,3600.000000000000000,0.000000000000000
R-4,1.098901098901099,91.000000000000000,81900.000000000000000,0.010989010989011
R-50,23.673469387755102,245.000000000000000,220500.000000000000000,0.236734693877551
S-24,6.555269922879173,778.000000000000000,700200.000000000000000,0.065552699228792
S-31,100.000000000000000,4.000000000000000,3600.000000000000000,1.000000000000000
B-1,1.239669421487603,242.000000000000000,217800.000000000000000,0.012396694214876
B-10,0.000000000000000,247.000000000000000,222300.000000000000000,0.000000000000000
B-11,0.416666666666667,240.000000000000000,216000.000000000000000,0.004166666666667
B-12,3.030303030303030,165.000000000000000,148500.000000000000000,0.030303030303030
B-14,0.000000000000000,24.000000000000000,21600.000000000000000,0.000000000000000
B-15,0.000000000000000,52.000000000000000,46800.000000000000000,0.000000000000000
B-16,0.000000000000000,128.000000000000000,115200.000000000000000,0.000000000000000
B-17,1.438848920863309,278.000000000000000,250200.000000000000000,0.014388489208633
B-2,2.494802494802496,962.000000000000000,865800.000000000000000,0.024948024948025
B-3,5.226480836236933,287.000000000000000,258300.000000000000000,0.052264808362369
B-33,3.007518796992481,133.000000000000000,119700.000000000000000,0.030075187969925
B-35,7.518796992481199,133.000000000000000,119700.000000000000000,0.075187969924812
B-37,14.285714285714288,14.000000000000000,12600.000000000000000,0.142857142857143
B-38,11.462450592885382,253.000000000000000,227700.000000000000000,0.114624505928854
B-39,0.000000000000000,7.000000000000000,6300.000000000000000,0.000000000000000
B-4,10.447761194029850,67.000000000000000,60300.000000000000000,0.104477611940299
B-42,7.516703786191535,1796.000000000000000,1616400.000000000000000,0.075167037861915
B-6,10.780669144981413,269.000000000000000,242100.000000000000000,0.107806691449814
B-61,8.715596330275236,218.000000000000000,196200.000000000000000,0.087155963302752
B-7,2.238805970149254,268.000000000000000,241200.000000000000000,0.022388059701493
B-9,0.000000000000000,144.000000000000000,129600.000000000000000,0.000000000000000
G-49,3.249097472924189,277.000000000000000,249300.000000000000000,0.032490974729242
G-84,6.010928961748641,732.000000000000000,658800.000000000000000,0.060109289617486
M-17,0.346020761245675,289.000000000000000,260100.000000000000000,0.003460207612457
M-28,2.681992337164754,783.000000000000000,704700.000000000000000,0.026819923371648
M-37,4.680851063829788,470.000000000000000,423000.000000000000000,0.046808510638298
M-39,3.355704697986579,447.000000000000000,402300.000000000000000,0.033557046979866
M-40,1.851851851851851,162.000000000000000,145800.000000000000000,0.018518518518519
M-41,3.500761035007612,657.000000000000000,591300.000000000000000,0.035007610350076
M-42,5.370843989769825,391.000000000000000,351900.000000000000000,0.053708439897698
M-43,9.782608695652172,184.000000000000000,165600.000000000000000,0.097826086956522
M-44,3.960396039603960,202.000000000000000,181800.000000000000000,0.039603960396040
M-45,0.000000000000000,164.000000000000000,147600.000000000000000,0.000000000000000
M-46,4.500978473581214,511.000000000000000,459900.000000000000000,0.045009784735812
M-47,1.428571428571429,70.000000000000000,63000.000000000000000,0.014285714285714
M-49,7.670454545454551,352.000000000000000,316800.000000000000000,0.076704545454546
M-61,13.574660633484173,221.000000000000000,198900.000000000000000,0.135746606334842
M-71,3.846153846153846,234.000000000000000,210600.000000000000000,0.038461538461538
M-73,6.861223222601690,22547.000000000000000,20292300.000000000000000,0.068612232226017
Q-11,5.529411764705885,1700.000000000000000,1530000.000000000000000,0.055294117647059
R-1,4.281891168599462,1121.000000000000000,1008900.000000000000000,0.042818911685995
R-2,37.162162162162140,148.000000000000000,133200.000000000000000,0.371621621621621
R-3,8.070175438596493,285.000000000000000,256500.000000000000000,0.080701754385965
R-35,7.672634271099746,391.000000000000000,351900.000000000000000,0.076726342710997
R-42,7.352941176470589,884.000000000000000,795600.000000000000000,0.073529411764706
S-23,4.260089686098655,446.000000000000000,401400.000000000000000,0.042600896860987
S-25,2.113916617733414,5109.000000000000000,4598100.000000000000000,0.021139166177334
S-26,21.074380165289259,242.000000000000000,217800.000000000000000,0.210743801652893
S-27,2.980132450331126,302.000000000000000,271800.000000000000000,0.029801324503311
S-28,4.571428571428571,175.000000000000000,157500.000000000000000,0.045714285714286
S-29,10.943396226415100,265.000000000000000,238500.000000000000000,0.109433962264151
S-30,1.707577374599790,937.000000000000000,843300.000000000000000,0.017075773745998
S-34,8.695652173913045,115.000000000000000,103500.000000000000000,0.086956521739130
S-38,26.388888888888896,72.000000000000000,64800.000000000000000,0.263888888888889
S-39,9.929078014184400,141.000000000000000,126900.000000000000000,0.099290780141844
S-42,14.583333333333334,48.000000000000000,43200.000000000000000,0.145833333333333
S-46,22.197802197802201,1365.000000000000000,1228500.000000000000000,0.221978021978022
