WETID,COUNT,DEVELOPED_PCT,AREA,MEAN
B-1,415.000000000000000,5.783132530120484,373500.000000000000000,0.057831325301205
B-10,420.000000000000000,0.000000000000000,378000.000000000000000,0.000000000000000
B-11,416.000000000000000,3.605769230769234,374400.000000000000000,0.036057692307692
B-12,292.000000000000000,5.821917808219180,262800.000000000000000,0.058219178082192
B-14,60.000000000000000,0.000000000000000,54000.000000000000000,0.000000000000000
B-15,110.000000000000000,0.909090909090909,99000.000000000000000,0.009090909090909
B-16,241.000000000000000,0.000000000000000,216900.000000000000000,0.000000000000000
B-17,497.000000000000000,7.847082494969835,447300.000000000000000,0.078470824949698
B-3,569.000000000000000,6.151142355008790,512100.000000000000000,0.061511423550088
B-33,276.000000000000000,6.159420289855071,248400.000000000000000,0.061594202898551
B-35,273.000000000000000,7.692307692307690,245700.000000000000000,0.076923076923077
B-37,40.000000000000000,35.000000000000014,36000.000000000000000,0.350000000000000
B-38,451.000000000000000,24.390243902439025,405900.000000000000000,0.243902439024390
B-39,29.000000000000000,0.000000000000000,26100.000000000000000,0.000000000000000
B-4,124.000000000000000,16.129032258064516,111600.000000000000000,0.161290322580645
B-42,2738.000000000000000,9.715120525931333,2464200.000000000000000,0.097151205259313
B-48,233.000000000000000,7.725321888412013,209700.000000000000000,0.077253218884120
B-6,445.000000000000000,14.606741573033707,400500.000000000000000,0.146067415730337
B-61,456.000000000000000,12.500000000000004,410400.000000000000000,0.125000000000000
B-62,234.000000000000000,2.564102564102565,210600.000000000000000,0.025641025641026
B-63,322.000000000000000,6.832298136645965,289800.000000000000000,0.068322981366460
B-64,354.000000000000000,9.039548022598867,318600.000000000000000,0.090395480225989
B-7,517.000000000000000,10.058027079303674,465300.000000000000000,0.100580270793037
B-9,268.000000000000000,0.000000000000000,241200.000000000000000,0.000000000000000
G-49,541.000000000000000,4.066543438077632,486900.000000000000000,0.040665434380776
G-84,1235.000000000000000,8.340080971659916,1111500.000000000000000,0.083400809716599
M-17,466.000000000000000,0.214592274678112,419400.000000000000000,0.002145922746781
M-28,1122.000000000000000,7.932263814616760,1009800.000000000000000,0.079322638146168
M-29,466.000000000000000,16.738197424892711,419400.000000000000000,0.167381974248927
M-37,774.000000000000000,6.718346253229977,696600.000000000000000,0.067183462532300
M-39,749.000000000000000,6.542056074766355,674100.000000000000000,0.065420560747664
M-40,307.000000000000000,4.885993485342020,276300.000000000000000,0.048859934853420
M-41,1044.000000000000000,5.938697318007662,939600.000000000000000,0.059386973180077
M-42,726.000000000000000,9.504132231404967,653400.000000000000000,0.095041322314050
M-43,368.000000000000000,9.239130434782608,331200.000000000000000,0.092391304347826
M-44,386.000000000000000,7.772020725388604,347400.000000000000000,0.077720207253886
M-45,298.000000000000000,0.000000000000000,268200.000000000000000,0.000000000000000
M-46,855.000000000000000,7.602339181286552,769500.000000000000000,0.076023391812866
M-47,144.000000000000000,11.805555555555557,129600.000000000000000,0.118055555555556
M-49,649.000000000000000,14.791987673343595,584100.000000000000000,0.147919876733436
M-55,57.000000000000000,0.000000000000000,51300.000000000000000,0.000000000000000
M-61,396.000000000000000,32.323232323232290,356400.000000000000000,0.323232323232323
M-71,423.000000000000000,4.255319148936173,380700.000000000000000,0.042553191489362
M-73,37286.000000000000000,9.630960682293633,33557400.000000000000000,0.096309606822936
PS-13,20.000000000000000,30.000000000000000,18000.000000000000000,0.300000000000000
Q-11,2314.000000000000000,10.501296456352643,2082600.000000000000000,0.105012964563526
R-1,1969.000000000000000,7.668867445403754,1772100.000000000000000,0.076688674454038
R-2,297.000000000000000,53.535353535353558,267300.000000000000000,0.535353535353536
R-3,547.000000000000000,11.334552102376607,492300.000000000000000,0.113345521023766
R-35,613.000000000000000,14.681892332789563,551700.000000000000000,0.146818923327896
R-4,180.000000000000000,6.111111111111111,162000.000000000000000,0.061111111111111
R-42,1609.000000000000000,17.837165941578622,1448100.000000000000000,0.178371659415786
R-50,423.000000000000000,27.423167848699777,380700.000000000000000,0.274231678486998
S-23,758.000000000000000,10.026385224274403,682200.000000000000000,0.100263852242744
S-24,1182.000000000000000,13.959390862944160,1063800.000000000000000,0.139593908629442
S-25,6147.000000000000000,4.945501870831318,5532300.000000000000000,0.049455018708313
S-26,493.000000000000000,35.902636916835725,443700.000000000000000,0.359026369168357
S-27,547.000000000000000,6.215722120658137,492300.000000000000000,0.062157221206581
S-28,334.000000000000000,8.383233532934137,300600.000000000000000,0.083832335329341
S-29,477.000000000000000,22.222222222222225,429300.000000000000000,0.222222222222222
S-30,1568.000000000000000,4.846938775510213,1411200.000000000000000,0.048469387755102
S-31,21.000000000000000,80.952380952380949,18900.000000000000000,0.809523809523809
S-34,229.000000000000000,22.270742358078614,206100.000000000000000,0.222707423580786
S-38,140.000000000000000,44.285714285714278,126000.000000000000000,0.442857142857143
S-39,293.000000000000000,16.040955631399321,263700.000000000000000,0.160409556313993
S-42,118.000000000000000,10.169491525423730,106200.000000000000000,0.101694915254237
S-46,2423.000000000000000,30.581923235658330,2180700.000000000000000,0.305819232356583
B-2,1645.000000000000000,4.072948328267479,1480500.000000000000000,0.040729483282675
